cite_key,survey_evidence_tier,domain,course_object,representation_family,generator_family,generation_role,validity_strategy,code_status
ASAM2024ASAMOpenDRIVE,NR,ground,road_network,parametric_curve,NR,serialization,NR,NR
Althoff2017CommonRoadComposable,NR,ground,road_network,boundary_pair,NR,benchmark_only,NR,official_open
Brockman2016OpenAIGym,NR,ground,closed_track,centerline_plus_width,stochastic_procedural,geometry_synthesis,rejection,official_open
CARLA2021OpenDRIVEStandalone,NR,ground,road_network,simulator_native,NR,serialization,NR,NR
Chen2008InteractiveProcedural,NR,adjacent,road_network,waypoint_graph,constructive,geometry_synthesis,NR,NR
Jain2020ComputingRacing,NR,ground,closed_track,centerline_plus_width,NR,boundary_case,NR,NR
Loquercio2020DeepDrone,NR,aerial,gate_chain,gate_poses,environment_design,geometry_synthesis,NR,official_open
OpenRoboticsNodateVRXAutomated,NR,maritime,buoy_course,gate_poses; simulator_native,selection_replay,task_selection,NR,official_open
QGroundControlNodatePlanFile,NR,aerial,waypoint_sequence,waypoint_graph,NR,serialization,NR,official_open
RoboNation2026RoboBoat2026,NR,maritime,buoy_course,gate_poses,NR,benchmark_only,NR,NR
Sotiropoulos2016VirtualWorlds,NR,adjacent,NR,NR,NR,NR,NR,NR
Yu2021RepulsiveCurves,NR,adjacent,NR,parametric_curve,repair_projection,repair,penalty,NR
Yu2025MasteringDiverse,NR,aerial,gate_chain,gate_poses,constructive,geometry_synthesis,NR,NR
