cite_key,reproducibility_fields,evidence_locator
ASAM2024ASAMOpenDRIVE,official specification version 1.8.1,https://publications.pages.asam.net/standards/ASAM_OpenDRIVE/ASAM_OpenDRIVE_Specification/v1.8.1/specification/index.html Section 9.2 Road reference line Figure 25 Table 18 planView and geometry
Althoff2017CommonRoadComposable,DOI; archived author manuscript,https://doi.org/10.1109/ivs.2017.7995802; https://web.archive.org/web/20180720100708id_/http://mediatum.ub.tum.de/doc/1379638/document.pdf pp. 2 and 5 Portability Section V.A Road Network Figure 4
Brockman2016OpenAIGym,arXiv record; pinned official Gym commit,https://arxiv.org/abs/1606.01540; https://github.com/openai/gym/commit/c17ac6cc55fda4be60548e2e05b54f22e83e2c1b paper Sections 3-4 and gym/envs/box2d/car_racing.py lines 22-29 and 134-171
CARLA2021OpenDRIVEStandalone,official CARLA 0.9.12 documentation,https://carla.readthedocs.io/en/0.9.12/adv_opendrive/ OpenDRIVE standalone mode Run a standalone map Mesh generation client.generate_opendrive_world()
Chen2008InteractiveProcedural,water/park/forest/height/population-density input maps; tensor-field design; graph-edit operations,https://web.engr.oregonstate.edu/~zhange/images/street_sig08.pdf (Abstract; Sections 3; 5; 6.1-6.4; Figure 2)
Jain2020ComputingRacing,centerline XY waypoints; track width; vehicle mass m; center-of-gravity distances lf and lr,"https://arxiv.org/abs/2002.04794 (Abstract; Introduction; Sections II, IV-A, IV-B, and V)"
Loquercio2020DeepDrone,project page source code and trained models,https://rpg.ifi.uzh.ch/docs/TRO19_Loquercio.pdf (Section III-A Training Procedure; Section IV-B/IV-C; Tables I-II; Appendix C)
OpenRoboticsNodateVRXAutomated,pinned official repository source files,https://github.com/osrf/vrx-docker; https://github.com/osrf/vrx-docker/blob/f599871a83ddfef9851e2f9bc95d082baff47bf2/README.md prepare_task_trials.bash lines 3-5 and 32-51 task_config/gymkhana.yaml lines 1-19 and 46-69 and 97-120 and 147-170 README lines 21-29 and 43-53
QGroundControlNodatePlanFile,official format documentation,https://docs.qgroundcontrol.com/master/en/qgc-dev-guide/file_formats/plan.html Plan File Mission Object SimpleItem Complex Mission Item CorridorScan
RoboNation2026RoboBoat2026,official RoboBoat 2026 handbook,https://robonation.org/app/uploads/sites/3/2025/10/RoboBoat-2026-Team-Handbook_111125.pdf pp. 45-50 Sections 3.2.1-3.2.3 task-layout figures pp. 58-60 Sections 3.2.7 and 3.4-3.5
Sotiropoulos2016VirtualWorlds,NR,https://hal.science/hal-01328909v1 (HAL record title field); https://doi.org/10.1109/edcc.2016.14 (publisher metadata)
Yu2021RepulsiveCurves,NR,https://www.cs.cmu.edu/~kmcrane/Projects/RepulsiveCurves/RepulsiveCurves.pdf (abstract; Sections 1; 3; and 4)
Yu2025MasteringDiverse,DOI; author preprint,https://doi.org/10.1109/LRA.2025.3643267; https://arxiv.org/pdf/2512.09571v2 Section III-C Curriculum Learning for Generalizable Racing Track Primitive Generator Figure 2
