cite_key,field,primary_value,reliability_value,resolved_value,resolution_basis,evidence_locator,codebook_issue
DRAFT_C0006,representation_family,segment_grammar;waypoint_graph,segment_grammar,segment_grammar;waypoint_graph,The road network is assembled from named road blocks and is explicitly represented as nodes and lane edges.,representation_family=PDF p. 3 Sec. III-A,MULTI_REPRESENTATION
DRAFT_C0006,validity_strategy,rejection,by_construction,rejection,"BIG samples a block and discards it when it intersects the extant network, retrying or backtracking; feasibility is therefore rejection-based.","validity_strategy=PDF p. 3 Sec. III-B, Algorithm 1 lines 16-26",CONSTRUCTION_VS_REJECTION
DRAFT_C0008,representation_family,centerline_plus_width,parametric_curve,parametric_curve,"The generated roads are circular arcs and parametric cubic connection roads; the centerline is a construction reference, not the stored representation.","representation_family=PDF p. 2 Sec. III-A, Phases 2-3",CONSTRUCTION_REFERENCE_VS_REPRESENTATION
DRAFT_C0008,generator_family,constructive;stochastic_procedural,constructive,constructive;stochastic_procedural,"The three-phase generator constructively builds the roundabout and its reported randomized procedure samples radius, incident points, and headings.",generator_family=PDF pp. 2-3 Sec. III-A and PDF p. 4 Sec. III-B,DETERMINISTIC_CORE_WITH_RANDOM_INPUTS
DRAFT_C0008,validity_strategy,rejection,by_construction,by_construction,The phases choose circle and connection geometry to avoid overlap before output; they do not generate complete candidates and reject them after validation.,"validity_strategy=PDF p. 3 Sec. III-A, Phases 1-3",CONSTRUCTION_VS_REJECTION
DRAFT_C0009,representation_family,segment_grammar,segment_grammar;parametric_curve,segment_grammar,"The TORCS phenotype and generated output are ordered straight and turn segments; control points are an indirect encoding, not a parametric-curve output.",representation_family=PDF p. 5 Sec. V-A-C,LATENT_ENCODING_VS_OUTPUT_REPRESENTATION
DRAFT_C0009,generation_role,geometry_synthesis,geometry_synthesis;mutation,geometry_synthesis;mutation,The evolutionary algorithm synthesizes full tracks and explicitly applies polynomial mutation to the encoded track parameters.,generation_role=PDF p. 5 Sec. V-E,EVOLUTIONARY_OPERATOR_AS_GENERATION_ROLE
DRAFT_C0011,generation_role,geometry_synthesis,geometry_synthesis;mutation,geometry_synthesis;mutation,The method generates full segment sequences and the genetic algorithm explicitly uses mutation as an evolution operator.,generation_role=PDF pp. 4-5 Secs. 4-5,EVOLUTIONARY_OPERATOR_AS_GENERATION_ROLE
DRAFT_C0011,validity_strategy,by_construction;penalty,penalty,penalty,"Validity is optimized by local-search and genetic fitness, with invalid configurations repaired through moves or disfavored by the fitness condition; no representation guarantees validity by construction.",validity_strategy=PDF p. 5 Sec. 5-A and Fig. 7,CONSTRUCTION_VS_PENALTY
DRAFT_C0020,generator_family,environment_design,learned_generative;environment_design,learned_generative;environment_design,"PAIRED trains an adversary policy by reinforcement learning to place environment parameters, so it is both learned generation and environment design.",generator_family=PDF p. 5 Sec. 4 and Algorithm 1,LEARNED_POLICY_AS_GENERATOR
DRAFT_C0020,generation_role,geometry_synthesis;task_selection,geometry_synthesis,geometry_synthesis,"The adversary places the agent, goal, and obstacles to construct each environment; it does not select among a fixed task catalogue.",generation_role=PDF p. 7 Sec. 5.1,SYNTHESIS_VS_TASK_SELECTION
DRAFT_C0020,validity_strategy,NR,simulation_validation,NR,"PAIRED rewards solvable, regret-producing environments during learning but the source does not report a post-generation validation procedure matching the controlled validity labels.",validity_strategy=PDF p. 5 Sec. 4 and PDF p. 7 Sec. 5.1,SOLVABILITY_OBJECTIVE_VS_VALIDATION
DRAFT_C0054,generator_family,constructive;human_designed,constructive,constructive;human_designed,The user interactively designs the tensor field and the system constructively traces it into a street graph; both roles are source-native.,generator_family=PDF p. 1 Abstract and PDF p. 2 Sec. 3,INTERACTIVE_INPUT_AS_HUMAN_DESIGN
DRAFT_C0054,validity_strategy,NR,not_reported,not_reported,The paper describes generation and editing but does not state a controlled output-validity strategy.,validity_strategy=PDF p. 6 Sec. 6.1,NR_VS_NOT_REPORTED
DRAFT_C0119,survey_evidence_tier,core,supporting,core,"The source itself releases a racing simulator, task, dataset, evaluation procedure, and track construction facility, constituting a source-native benchmark contribution.",survey_evidence_tier=PDF p. 1 Abstract and PDF pp. 2-4 Secs. 3-4,CORE_BENCHMARK_VS_SUPPORTING_FIXED_COURSE
DRAFT_C0119,generation_role,benchmark_only,NR,benchmark_only,"The L2R contribution defines a task, dataset, metrics, and evaluation procedures rather than a course-generation method.",generation_role=PDF p. 1 Abstract and PDF p. 4 Sec. 4,BENCHMARK_VS_GENERATOR
DRAFT_C0121,generation_role,geometry_synthesis,geometry_synthesis;mutation,geometry_synthesis,The environment policy adjusts gate layouts to create new training tracks; the method contains no mutation operator.,generation_role=PDF p. 3 Sec. III-B and Algorithm 1,ADAPTIVE_LAYOUT_SYNTHESIS_VS_MUTATION
DRAFT_C0128,representation_family,waypoint_graph,NR,waypoint_graph,"CommonRoad scenarios encode lanelets and their predecessor-successor connectivity, which is a navigable graph representation.",representation_family=PDF p. 6 Sec. V-C,LANELET_GRAPH_CLASSIFICATION
DRAFT_C0128,generation_role,benchmark_only,NR,benchmark_only,"The report contributes composable motion-planning benchmark scenarios, not a source-native generator.",generation_role=PDF p. 1 Sec. I,BENCHMARK_VS_GENERATOR
DRAFT_C0128,validity_strategy,not_reported,NR,not_reported,The paper describes benchmark composition but reports no output-validity strategy under the controlled taxonomy.,validity_strategy=PDF p. 2 Sec. II-B,NR_VS_NOT_REPORTED
DRAFT_C0131,survey_evidence_tier,supporting,core,supporting,The documentation establishes configurable simulator environments and obstacle placement but not a source-native racing-course generation contribution; it supports simulator-design evidence only.,survey_evidence_tier=docs#L121-L161 and docs#L229-L231,SIMULATOR_CONFIGURATION_VS_COURSE_GENERATION
DRAFT_C0131,generator_family,NR,stochastic_procedural,NR,"Random obstacle spawning is documented, but the source does not define it as a course generator with a taxonomy-supported generator family.",generator_family=docs#L121-L161,SIMULATOR_CONFIGURATION_VS_COURSE_GENERATION
DRAFT_C0131,generation_role,NR,geometry_synthesis,NR,"The source documents environment configuration and runtime obstacle placement, not source-native synthesis of an ordered racing course.",generation_role=docs#L121-L161,SIMULATOR_CONFIGURATION_VS_COURSE_GENERATION
DRAFT_C0136,representation_family,NR,simulator_native,NR,The competition report identifies input representations used by participating tools but does not itself define one source-native course representation.,representation_family=PDF pp. 2-4 Secs. II-C-III,COMPETITION_REPORT_VS_TOOL_CONTRIBUTION
DRAFT_C0136,generation_role,benchmark_only,NR,benchmark_only,"The report contributes a competition evaluation framework for generated driving tests, rather than a generator of its own.",generation_role=PDF p. 1 Abstract and PDF p. 2 Sec. II-C,COMPETITION_REPORT_VS_TOOL_CONTRIBUTION
DRAFT_C0136,code_status,official_open,NR,official_open,The official competition infrastructure and multiple competing tool implementations are linked as public GitHub repositories in the report.,code_status=PDF p. 2 Sec. II-C and PDF p. 8 Refs. [18]-[20],COMPETITION_INFRASTRUCTURE_CODE_STATUS
DRAFT_C0150,representation_family,NR,waypoint_graph,waypoint_graph,The method defines each scenario as ordered waypoint course-altering angles and inter-waypoint distances.,representation_family=PDF Sec. 2.2.2 and Fig. 5,WAYPOINT_SEQUENCE_VS_WAYPOINT_GRAPH
DRAFT_C0150,generator_family,constructive,selection_replay,constructive,It constructs new scenarios by combinatorially permuting prepared navigation-element values; it does not replay or select pre-existing scenarios.,generator_family=PDF Secs. 2.3.2-2.4,CONSTRUCTIVE_PERMUTATION_VS_SELECTION_REPLAY
DRAFT_C0150,asset_status,NR,closed,closed,"The paper states that supporting data are available only from the corresponding author upon reasonable request, not as an open asset release.",asset_status=PDF p. 10 Data Availability Statement,RESTRICTED_AVAILABILITY_STATUS
DRAFT_C0164,representation_family,occupancy_heightfield_mesh,occupancy_heightfield_mesh;hybrid,occupancy_heightfield_mesh;hybrid,"GenTe represents geometric terrain with height maps and combines those with physical terrain models and geometric primitives, yielding a hybrid terrain representation.",representation_family=PDF Sec. IV-A and Fig. 4,COMPOSITE_TERRAIN_REPRESENTATION
DRAFT_C0164,generator_family,learned_generative,constructive;learned_generative,constructive;learned_generative,"A VLM interprets prompts and calls parameterized terrain-construction functions, combining learned generation with constructive assembly.",generator_family=PDF Sec. IV-A and Fig. 4,LEARNED_CONTROLLER_WITH_CONSTRUCTIVE_BACKEND
DRAFT_C0164,validity_strategy,NR,not_reported,NR,"The source reports human quality review and downstream policy evaluation, but no controlled validity strategy such as rejection, repair, or simulation validation of generated geometry.",validity_strategy=PDF p. 1 Abstract and Sec. V-C,UNCONTROLLED_QUALITY_REVIEW_VS_VALIDITY_LABEL
DRAFT_C0168,course_object,gate_chain;buoy_course;fixed_benchmark,buoy_course,gate_chain;buoy_course;fixed_benchmark,"The handbook defines gates as paired buoys and prescribes fixed qualifying, semifinal, and final challenge courses.",course_object=PDF pp. 8-10 Secs. 2.3-2.4,COMPOSITE_COMPETITION_COURSE_OBJECT
DRAFT_C0168,generation_role,benchmark_only,NR,benchmark_only,The handbook normatively defines competition courses and task evaluation; it does not generate new courses.,generation_role=PDF p. 4 Sec. 1.1 and PDF p. 8 Sec. 2.3,BENCHMARK_VS_GENERATOR
DRAFT_C0168,code_status,not_applicable,NR,not_applicable,This official handbook specifies competition requirements and does not present a code artifact whose availability can be assessed.,code_status=PDF pp. 3-4 Table 1 and Sec. 1.1,DOCUMENTATION_WITHOUT_CODE_ARTIFACT
DRAFT_C0182,representation_family,centerline_plus_width;occupancy_heightfield_mesh,sampled_centerline;centerline_plus_width;occupancy_heightfield_mesh,sampled_centerline;centerline_plus_width;occupancy_heightfield_mesh,The repository releases sampled centerlines with left and right widths and occupancy-grid maps; all three controlled representations are explicit.,representation_family=repo@b95c4eff README.md#L57-L64,MULTI_ASSET_REPRESENTATION
DRAFT_C0182,generation_role,benchmark_only,NR,benchmark_only,The repository supplies fixed racetrack assets for F1TENTH simulation and contains no track-generation method.,generation_role=repo@b95c4eff README.md#L1-L2 and README.md#L24-L64,FIXED_ASSET_BENCHMARK_VS_GENERATOR
DRAFT_C0191,representation_family,waypoint_graph,parametric_curve;waypoint_graph,waypoint_graph,NETGEN builds a network by adding nodes and edges; the documentation does not specify a parametric-curve representation.,representation_family=HTML #random_network,NETWORK_GRAPH_VS_CURVE_GEOMETRY
DRAFT_C0191,validity_strategy,NR,not_reported,not_reported,The documentation specifies generator options but reports no controlled validation strategy for generated networks.,validity_strategy=HTML #random_network and #report,NR_VS_NOT_REPORTED
DRAFT_C0191,code_status,official_open,NR,official_open,The official documentation exposes its editable GitHub source and documents the NETGEN executable as part of the SUMO suite.,"code_status=HTML keyboard help ""Edit current page on GitHub""",OFFICIAL_DOCUMENTATION_LINK_VS_CODE_RELEASE
DRAFT_C0205,representation_family,waypoint_graph;hybrid,waypoint_graph;occupancy_heightfield_mesh,waypoint_graph;occupancy_heightfield_mesh,SLEDGE represents lanes as connected polyline lane graphs and encodes the scene in a rasterized latent map; it does not use the generic hybrid label.,representation_family=PDF pp. 4-5 Secs. 3.1-3.2,RASTER_VECTOR_PIPELINE_VS_HYBRID_LABEL
DRAFT_C0205,validity_strategy,simulation_validation,not_reported,simulation_validation,The generated lane-and-agent scenes are instantiated in SLEDGE and evaluated through planner failure rates on generated routes.,validity_strategy=PDF pp. 8 and 12-13 Secs. 3.4 and 4.3,DOWNSTREAM_SIMULATION_AS_VALIDATION
