cite_key,field,primary_value,reliability_value
DRAFT_C0010,generator_family,search_evolutionary,constructive;stochastic_procedural;search_evolutionary
DRAFT_C0010,validity_strategy,penalty,not_reported
DRAFT_C0015,survey_evidence_tier,supporting,contextual
DRAFT_C0015,course_object,open_corridor,NR
DRAFT_C0015,code_status,NR,not_applicable
DRAFT_C0015,asset_status,NR,not_applicable
DRAFT_C0025,generator_family,human_designed,NR
DRAFT_C0025,code_status,NR,official_open
DRAFT_C0025,asset_status,NR,official_open
DRAFT_C0047,validity_strategy,rejection;repair_projection,rejection
DRAFT_C0050,representation_family,sampled_centerline;occupancy_heightfield_mesh,parametric_curve;sampled_centerline;occupancy_heightfield_mesh
DRAFT_C0050,validity_strategy,by_construction,not_reported
DRAFT_C0052,representation_family,segment_grammar,segment_grammar;waypoint_graph
DRAFT_C0052,validity_strategy,rejection;repair_projection,by_construction;rejection
DRAFT_C0063,code_status,NR,official_open
DRAFT_C0071,survey_evidence_tier,contextual,core
DRAFT_C0071,course_object,NR,world_asset
DRAFT_C0071,generator_family,NR,stochastic_procedural
DRAFT_C0071,generation_role,NR,geometry_synthesis
DRAFT_C0071,validity_strategy,NR,not_reported
DRAFT_C0071,code_status,NR,official_open
DRAFT_C0110,course_object,road_network,open_corridor
DRAFT_C0110,representation_family,segment_grammar,parametric_curve
DRAFT_C0110,generation_role,geometry_synthesis;boundary_case,geometry_synthesis
DRAFT_C0110,validity_strategy,rejection,by_construction;rejection
DRAFT_C0110,code_status,NR,official_open
DRAFT_C0126,code_status,NR,official_open
DRAFT_C0132,course_object,waypoint_sequence,buoy_course
DRAFT_C0162,representation_family,NR,sampled_centerline;simulator_native
DRAFT_C0162,generator_family,learned_generative,stochastic_procedural;learned_generative
DRAFT_C0162,generation_role,geometry_synthesis,geometry_synthesis;serialization
DRAFT_C0162,validity_strategy,rejection;penalty,rejection
DRAFT_C0165,generator_family,constructive,human_designed
DRAFT_C0177,representation_family,occupancy_heightfield_mesh,parametric_curve
DRAFT_C0177,generator_family,stochastic_procedural;search_evolutionary;learned_generative,constructive;stochastic_procedural;search_evolutionary;learned_generative
DRAFT_C0177,generation_role,geometry_synthesis;task_selection;mutation,geometry_synthesis;mutation
DRAFT_C0177,validity_strategy,rejection,rejection;simulation_validation
DRAFT_C0177,code_status,NR,official_open
DRAFT_C0180,course_object,world_asset;fixed_benchmark,closed_track
DRAFT_C0180,representation_family,simulator_native,NR
DRAFT_C0180,code_status,NR,official_open
DRAFT_C0195,course_object,closed_track;fixed_benchmark,closed_track
DRAFT_C0195,representation_family,sampled_centerline;centerline_plus_width,centerline_plus_width
DRAFT_C0195,generation_role,serialization;benchmark_only,benchmark_only
DRAFT_C0195,code_status,not_applicable,NR
DRAFT_C0202,representation_family,waypoint_graph,sampled_centerline;waypoint_graph
DRAFT_C0202,generator_family,learned_generative,stochastic_procedural;learned_generative
DRAFT_C0202,generation_role,geometry_synthesis;boundary_case,geometry_synthesis
DRAFT_C0202,validity_strategy,by_construction,not_reported
DRAFT_C0211,representation_family,gate_poses,NR
